City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
257,Rawson,AR,2021-09-29 16:21:49,-43.3002,-65.1023,71.74,19,41,24.63
258,Wailuku,US,2021-09-29 16:17:13,20.8911,-156.5047,75.96,87,20,5.99
259,Along,IN,2021-09-29 16:21:50,28.1667,94.7667,73.11,98,58,1.41
260,Severo-Kurilsk,RU,2021-09-29 16:21:50,50.6789,156.125,49.84,91,59,5.32
261,General Escobedo,MX,2021-09-29 16:17:56,25.8167,-100.3333,92.97,78,15,2.26
262,Aksu,CN,2021-09-29 16:21:50,41.1231,80.2644,71.89,17,92,3.22
263,Cherskiy,RU,2021-09-29 16:21:51,68.75,161.3,19.53,98,82,7.58
264,Camocim,BR,2021-09-29 16:21:51,-2.9022,-40.8411,90.05,55,14,15.3
265,Safaga,EG,2021-09-29 16:21:51,26.7292,33.9365,85.95,50,0,17.6
266,Cidreira,BR,2021-09-29 16:21:52,-30.1811,-50.2056,66.81,86,94,11.86
267,Evensk,RU,2021-09-29 16:21:52,61.95,159.2333,27.46,47,1,5.17
268,Vanersborg,SE,2021-09-29 16:21:52,58.3807,12.3234,57.72,92,90,11.5
269,Geraldton,AU,2021-09-29 16:21:53,-28.7667,114.6,57.61,94,40,8.05
270,Srednekolymsk,RU,2021-09-29 16:21:53,67.45,153.6833,16.65,97,44,3.31
271,Sorong,ID,2021-09-29 16:16:58,-0.8833,131.25,79.21,86,86,5.91
272,Roebourne,AU,2021-09-29 16:21:53,-20.7833,117.1333,75.6,38,1,12.24
273,Palmer,US,2021-09-29 16:21:54,42.1584,-72.3287,64.69,53,20,1.99
274,Tingo Maria,PE,2021-09-29 16:21:54,-9.2895,-76.0088,82.71,65,20,3.44
275,Makakilo City,US,2021-09-29 16:21:54,21.3469,-158.0858,74.68,72,1,4.61
276,Ponta Do Sol,PT,2021-09-29 16:21:55,32.6667,-17.1,79.12,53,0,6.08
277,Tabuk,PH,2021-09-29 16:21:55,17.4189,121.4443,75.18,93,51,3.24
278,Sola,VU,2021-09-29 16:21:55,-13.8833,167.55,79.27,80,93,17.27
279,Luderitz,NA,2021-09-29 16:21:56,-26.6481,15.1594,63.28,65,23,29.26
280,Alyangula,AU,2021-09-29 16:21:56,-13.8483,136.4192,76.15,84,39,8.72
281,Barrow,US,2021-09-29 16:17:35,71.2906,-156.7887,28.42,74,90,9.22
282,Yei,SS,2021-09-29 16:21:57,4.095,30.6779,74.01,82,98,2.59
283,Conceicao Da Barra,BR,2021-09-29 16:21:57,-18.5933,-39.7322,83.89,54,27,11.43
284,Kidal,ML,2021-09-29 16:21:57,18.4411,1.4078,100.38,12,9,10.09
285,Dunedin,NZ,2021-09-29 16:21:58,-45.8742,170.5036,41.81,71,74,16.58
286,Lorengau,PG,2021-09-29 16:21:58,-2.0226,147.2712,80.22,83,23,4.88
287,Chuy,UY,2021-09-29 16:21:58,-33.6971,-53.4616,61.3,71,96,9.98
288,Sortino,IT,2021-09-29 16:21:58,37.1566,15.026,77.81,62,70,3.27
289,Mtinko,TZ,2021-09-29 16:21:59,-4.55,34.85,79.93,30,78,8.41
290,Kutum,SD,2021-09-29 16:21:59,14.2,24.6667,86.76,21,44,8.88
291,Ostrovnoy,RU,2021-09-29 16:22:00,68.0531,39.5131,46.89,85,82,7.63
292,Coquimbo,CL,2021-09-29 16:22:00,-29.9533,-71.3436,64.13,67,0,11.5
293,Awbari,LY,2021-09-29 16:22:00,26.5921,12.7805,92.98,13,0,9.69
