City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_Description
250,Ikot Ekpene,NG,5.1794,7.7108,74.1,98,100,4.65,heavy intensity rain
251,Guerrero,MX,17.6667,-100.0,74.84,85,97,0.56,overcast clouds
252,Vardo,NO,70.3705,31.1107,45.19,85,17,13.94,few clouds
253,Pascagoula,US,30.3658,-88.5561,82.62,77,100,8.3,overcast clouds
254,Ommen,NL,52.5333,6.5,56.1,56,100,17.9,overcast clouds
255,Mount Gambier,AU,-37.8333,140.7667,53.51,100,90,16.11,overcast clouds
256,Lagoa,PT,39.05,-27.9833,70.74,85,57,4.79,broken clouds
257,Grindavik,IS,63.8424,-22.4338,43.27,75,75,17.27,broken clouds
258,Bergen,NO,60.392,5.328,57.07,88,75,12.66,broken clouds
259,Manokwari,ID,-0.8667,134.0833,78.57,72,49,3.87,scattered clouds
260,Tignere,CM,7.3667,12.65,65.75,93,100,0.69,light rain
261,Caravelas,BR,-17.7125,-39.2481,75.43,82,5,8.81,clear sky
262,East London,ZA,-33.0153,27.9116,63.86,92,59,7.02,broken clouds
263,Clyde River,CA,70.4692,-68.5914,35.46,71,100,5.08,overcast clouds
264,Reconquista,AR,-29.15,-59.65,91.8,40,43,7.18,scattered clouds
265,Vanimo,PG,-2.6741,141.3028,77.34,89,100,3.67,overcast clouds
266,Sooke,CA,48.3746,-123.7276,60.57,94,100,7.29,overcast clouds
267,Kamaishi,JP,39.2667,141.8833,68.45,95,100,4.34,overcast clouds
268,San Carlos De Bariloche,AR,-41.1456,-71.3082,42.3,71,43,17.47,scattered clouds
269,Surgut,RU,61.25,73.4167,35.78,93,75,13.42,broken clouds
270,Coquimbo,CL,-29.9533,-71.3436,60.12,63,0,10.07,clear sky
271,Guanambi,BR,-14.2233,-42.7814,87.69,28,94,6.2,overcast clouds
272,Pacific Grove,US,36.6177,-121.9166,94.6,40,0,1.01,clear sky
273,Amahai,ID,-3.3333,128.9167,76.41,86,100,3.09,light rain
274,Te Anau,NZ,-45.4167,167.7167,46.6,79,47,1.03,scattered clouds
275,Tevriz,RU,57.509,72.4042,34.14,82,100,5.5,overcast clouds
276,Birjand,IR,32.8663,59.2211,66.72,26,0,7.49,clear sky
277,Gainesville,US,29.6516,-82.3248,88.61,58,1,6.91,clear sky
278,Benavente,ES,42.0025,-5.6783,63.88,47,59,6.02,broken clouds
279,Cidreira,BR,-30.1811,-50.2056,65.41,77,100,26.44,light rain
280,Seymour,US,38.9592,-85.8903,84.92,52,96,5.01,overcast clouds
281,Fort Nelson,CA,58.8053,-122.7002,40.46,92,100,4.97,overcast clouds
282,Nara,JP,34.6851,135.8049,75.9,72,100,1.01,overcast clouds
283,Caceres,ES,39.522,-6.3748,66.79,40,5,2.42,clear sky
284,Barguzin,RU,53.6167,109.6167,28.62,88,18,1.45,few clouds
285,Manzhouli,CN,49.6,117.4333,29.82,78,10,8.37,clear sky
286,Ayan,RU,56.45,138.1667,46.85,85,90,3.91,overcast clouds
287,Itoman,JP,26.1247,127.6694,82.42,74,20,18.41,few clouds
288,Storsteinnes,NO,69.2408,19.2344,44.38,84,100,6.24,overcast clouds
289,Puerto Lopez,CO,4.0845,-72.956,79.68,85,100,3.65,overcast clouds
290,Linares,CL,-35.85,-71.6,61.03,49,81,5.01,broken clouds
291,Kisaran,ID,2.9845,99.6158,73.26,94,98,1.59,overcast clouds
292,General Roca,AR,-39.0333,-67.5833,65.25,22,5,28.43,clear sky
293,Novikovo,RU,51.1537,37.8879,43.02,76,5,5.17,clear sky
294,Vao,NC,-22.6667,167.4833,70.59,84,76,23.0,broken clouds
295,Trairi,BR,-3.2778,-39.2689,79.38,82,66,11.03,broken clouds
296,Tautira,PF,-17.7333,-149.15,80.62,77,21,16.91,light rain
297,Sinnamary,GF,5.3833,-52.95,81.91,76,30,9.13,scattered clouds
298,Mastic Beach,US,40.7668,-72.8521,65.16,58,90,5.01,overcast clouds
299,Rio Grande,BR,-32.035,-52.0986,61.95,81,100,26.31,moderate rain
300,Christchurch,NZ,-43.5333,172.6333,54.32,75,0,1.14,clear sky
301,Catamarca,AR,-28.4696,-65.7852,92.77,33,0,1.99,clear sky
302,Paamiut,GL,61.994,-49.6678,36.9,68,0,25.14,clear sky
303,Ekhabi,RU,53.5102,142.9671,45.7,96,50,2.82,scattered clouds
304,Tehachapi,US,35.1322,-118.449,78.8,9,0,7.0,clear sky
305,Limbang,MY,4.75,115.0,77.11,98,100,2.08,overcast clouds
306,Kidal,ML,18.4411,1.4078,86.02,14,69,4.83,broken clouds
307,Atambua,ID,-9.1061,124.8925,71.01,80,23,3.27,few clouds
308,Yar-Sale,RU,66.8333,70.8333,35.1,78,87,21.41,overcast clouds
309,Racine,US,42.7495,-88.0751,83.86,45,99,5.99,overcast clouds
310,Nouadhibou,MR,20.931,-17.0347,70.56,89,0,18.25,clear sky
311,Pervomayskiy,RU,53.2485,40.2871,38.12,82,21,5.59,few clouds
312,Port Macquarie,AU,-31.4333,152.9167,60.76,72,100,5.1,light rain
313,Itarema,BR,-2.9248,-39.9167,79.63,82,57,14.32,broken clouds
